ANO,CONTO,GÊNERO,ORDEM,AUTOR,CÓDIGO PT,COM OU SEM TRADUÇÃO,Brazilian Tales,A Chapter of Hats,The Alienist,The Alienist and other stories,Midnight Mass & Other Stories,Ex-Cathedra,Miss Dolar,Trio in A-Minor,The Collected Stories of Machado de Assis,26 Stories,The Devil's Church and Other Stories,The Devil’s Church
1882,D. Benedita (1882),CO,107,MA,CO107MA,Yes,,,,,,,,,CO107CL10,CO107CL12,,
1882,Letra Vencida (1882),CO,108,MA,CO108MA,,,,,,,,,,,,,
1882,O Alienista (1882),CO,109,MA,CO109MA,Yes,,,CO109CL05,CO109CL06,,,,,CO109CL10,CO109CL12,,
1882,O Anel de Polícrates (1882),CO,110,MA,CO110MA,Yes,,,,,,,,,CO110CL10,,,
1882,O Espelho(1882),CO,111,MA,CO111MA,Yes,,,,CO111CL06,,,,,CO111CL10,CO111CL12,,
1882,O Imortal (1882),CO,112,MA,CO112MA,,,,,,,,,,,,,
1882,O Segredo do Bonzo (1882),CO,113,MA,CO113MA,Yes,,,,,,,,,CO113CL10,,CO113CL03,
1882,Verba Testamentária (1882),CO,114,MA,CO114MA,Yes,,,,,,,,,CO114CL10,,,
1883,A Ideia do Ezequiel Maia (1883),CO,115,MA,CO115MA,,,,,,,,,,,,,
1883,A Igreja do Diabo (1883),CO,116,MA,CO116MA,Yes,,,,,,,,,CO116CL10,CO116CL12,CO116CL03,CO116CL13
1883,Anedota Pecuniária (1883),CO,117,MA,CO117MA,Yes,,,,,,CO117CL07,,,CO117CL10,,,
1883,Cantiga de Esponsais (1883),CO,118,MA,CO118MA,Yes,,,,,CO118CL08,CO118CL07,,,CO118CL10,,,
1883,Cantiga Velha (1883),CO,119,MA,CO119MA,,,,,,,,,,,,,
1883,Capítulo dos Chapéus (1883),CO,120,MA,CO120MA,Yes,,CO120CL04,,CO120CL06,,,,,CO120CL10,CO120CL12,,
1883,Conto Alexandrino (1883),CO,121,MA,CO121MA,Yes,,CO121CL04,,,,,,,CO121CL10,,CO121CL03,
1883,Duas Juízas (1883),CO,122,MA,CO122MA,,,,,,,,,,,,,
1883,História Comum (1883),CO,123,MA,CO123MA,,,,,,,,,,,,,
1883,Médico é Remédio (1883),CO,124,MA,CO124MA,,,,,,,,,,,,,
1883,Metafísica das Rosas (1883),CO,125,MA,CO125MA,,,,,,,,,,,,,
1883,O Destinado (1883),CO,126,MA,CO126MA,,,,,,,,,,,,,
1883,O Lapso (1883),CO,127,MA,CO127MA,Yes,,,,,,,,,CO127CL10,,,
1883,O Programa (1883),CO,128,MA,CO128MA,,,,,,,,,,,,,
1883,Papéis Velhos (1883),CO,129,MA,CO129MA,Yes,,,,,,CO129CL07,,,CO129CL10,,,
1883,Primas de Sapucaia! (1883),CO,130,MA,CO130MA,Yes,,CO130CL04,,,,,,,CO130CL10,,CO130CL03,
1883,Questões de Maridos (1883),CO,131,MA,CO131MA,,,,,,,,,,,,,
1883,Singular Ocorrência (1883),CO,132,MA,CO132MA,Yes,,CO132CL04,,CO132CL06,,,,,CO132CL10,,CO132CL03,
1883,Três Consequências (1883),CO,133,MA,CO133MA,Yes,,,,,,,CO133CL09,,,,,
